,ImageId,x,y,xmax,ymax,label
0,000155de5.jpg,155,115,167,149,Ship
0,000194a2d.jpg,58,86,62,102,Ship
0,000194a2d.jpg,59,110,66,123,Ship
0,000194a2d.jpg,96,156,102,164,Ship
0,000194a2d.jpg,126,22,129,28,Ship
0,00021ddc3.jpg,210,60,213,62,Ship
0,00021ddc3.jpg,220,65,222,67,Ship
0,00021ddc3.jpg,235,32,240,40,Ship
0,00021ddc3.jpg,244,41,256,59,Ship
0,0002756f7.jpg,12,108,22,117,Ship
0,00031f145.jpg,41,148,51,157,Ship
0,000532683.jpg,153,199,158,201,Ship
0,000532683.jpg,252,246,254,249,Ship
0,00053c6ba.jpg,41,245,46,251,Ship
0,0005d01c8.jpg,84,159,107,185,Ship
0,0005d01c8.jpg,199,24,246,79,Ship
0,0005d6d95.jpg,57,115,63,122,Ship
0,0006c52e8.jpg,66,63,157,136,Ship
0,000d42241.jpg,194,160,196,163,Ship
0,000e6378b.jpg,134,97,141,108,Ship
0,000fd9827.jpg,86,23,92,28,Ship
0,00113a75c.jpg,14,233,23,246,Ship
0,00113a75c.jpg,17,75,30,97,Ship
0,00113a75c.jpg,39,171,53,186,Ship
0,00113a75c.jpg,91,48,104,65,Ship
0,001234638.jpg,134,57,177,109,Ship
0,001566f7c.jpg,158,30,199,91,Ship
0,0017c19d6.jpg,150,176,156,183,Ship
0,0017c19d6.jpg,171,143,176,147,Ship
0,0018e5d6c.jpg,42,24,68,118,Ship
0,0019fc4d8.jpg,37,159,55,197,Ship
0,001aee007.jpg,20,90,38,109,Ship
0,001aee007.jpg,22,215,65,256,Ship
0,001aee007.jpg,183,180,207,203,Ship
0,001aee007.jpg,237,105,256,128,Ship
0,001bcf222.jpg,115,95,120,102,Ship
0,001e418bc.jpg,168,53,210,99,Ship
0,001eb2794.jpg,227,15,233,23,Ship
0,001ed8b9b.jpg,61,3,92,113,Ship
0,001eda01f.jpg,182,160,185,164,Ship
0,0022f64e5.jpg,209,45,221,68,Ship
0,00269a792.jpg,75,30,104,54,Ship
0,0027854cc.jpg,105,0,127,28,Ship
0,002868a5c.jpg,207,75,210,77,Ship
0,00286e8b9.jpg,157,148,197,190,Ship
0,002943412.jpg,47,89,64,114,Ship
0,002943412.jpg,72,130,79,139,Ship
0,002943412.jpg,198,62,240,110,Ship
0,002c62c03.jpg,16,213,21,222,Ship
0,002c78530.jpg,22,112,24,114,Ship
0,002c78530.jpg,63,139,70,149,Ship
0,002d56570.jpg,124,181,137,209,Ship
0,002deeb16.jpg,138,37,174,109,Ship
0,002e85393.jpg,47,58,55,65,Ship
0,002fdcf51.jpg,95,115,145,200,Ship
0,00319c32d.jpg,160,71,162,73,Ship
0,003520305.jpg,49,37,59,65,Ship
0,003520305.jpg,160,224,171,242,Ship
0,003520305.jpg,183,167,190,188,Ship
0,003520305.jpg,184,0,192,23,Ship
0,003520305.jpg,190,105,197,121,Ship
0,003520305.jpg,237,19,245,36,Ship
0,00371aa92.jpg,194,90,200,98,Ship
0,0038cbe45.jpg,207,94,213,104,Ship
0,003b48a9e.jpg,150,153,155,155,Ship
0,003b48a9e.jpg,239,126,242,129,Ship
0,003d43308.jpg,181,12,216,33,Ship
0,003e2c95d.jpg,110,72,116,93,Ship
0,0040cf4e9.jpg,121,149,152,233,Ship
0,004141855.jpg,0,185,20,224,Ship
0,0041d7084.jpg,0,53,4,55,Ship
0,0041d7084.jpg,18,71,23,75,Ship
0,0041d7084.jpg,47,39,51,41,Ship
0,0041d7084.jpg,76,72,80,77,Ship
0,0041d7084.jpg,81,7,87,12,Ship
0,004331bef.jpg,188,105,197,116,Ship
0,004331bef.jpg,217,50,226,61,Ship
0,0046d5d83.jpg,199,7,205,13,Ship
0,00497c23d.jpg,145,114,151,119,Ship
0,004bc7ae6.jpg,59,149,63,152,Ship
0,004bc7ae6.jpg,236,2,241,4,Ship
0,004d7c73a.jpg,22,193,27,203,Ship
0,004e68ede.jpg,38,223,48,232,Ship
0,004e94ecb.jpg,162,14,169,41,Ship
0,004f97cfb.jpg,22,171,27,178,Ship
0,00552a73d.jpg,0,79,30,142,Ship
0,00552a73d.jpg,13,79,15,85,Ship
0,00552a73d.jpg,16,79,16,79,Ship
0,0056d301c.jpg,120,116,122,121,Ship
0,0056d301c.jpg,181,202,198,229,Ship
0,0056d301c.jpg,202,163,208,170,Ship
0,0056fbc62.jpg,15,164,18,170,Ship
0,00578738f.jpg,200,11,204,17,Ship
0,005883911.jpg,119,4,142,76,Ship
0,005a7670a.jpg,147,131,190,195,Ship
0,005c8e121.jpg,42,128,79,157,Ship
0,005d6a820.jpg,73,0,114,31,Ship
0,005d6a820.jpg,122,198,150,254,Ship
0,005d6a820.jpg,162,150,202,225,Ship
0,005d6a820.jpg,209,192,244,256,Ship
0,005f02549.jpg,221,182,227,188,Ship
0,005faf88a.jpg,203,36,212,43,Ship
0,0060f6de0.jpg,172,146,186,200,Ship
0,00610229c.jpg,74,142,76,146,Ship
0,0062ad143.jpg,206,116,208,121,Ship
0,0062e4cf1.jpg,29,47,33,51,Ship
0,00640a1af.jpg,42,23,83,50,Ship
0,00640a1af.jpg,88,237,95,244,Ship
0,00640a1af.jpg,218,146,226,169,Ship
0,0064956d4.jpg,248,137,249,143,Ship
0,0067a8e04.jpg,59,18,64,23,Ship
0,0067a8e04.jpg,229,64,235,72,Ship
0,0067a8e04.jpg,250,8,256,15,Ship
0,0068b3804.jpg,82,81,90,103,Ship
0,0068b3804.jpg,109,102,118,132,Ship
0,006da0c7b.jpg,215,151,220,156,Ship
0,006f392d7.jpg,173,133,177,138,Ship
0,006f392d7.jpg,209,23,216,31,Ship
0,0070fe317.jpg,148,194,151,198,Ship
0,0074d6c72.jpg,175,27,198,68,Ship
0,007534159.jpg,13,115,26,135,Ship
0,007534159.jpg,16,77,41,115,Ship
0,00761707d.jpg,253,213,256,215,Ship
0,0076e2074.jpg,134,123,141,131,Ship
0,007b25c03.jpg,62,38,64,43,Ship
0,007b25c03.jpg,101,210,118,231,Ship
0,007b25c03.jpg,145,32,171,84,Ship
0,007b25c03.jpg,206,240,256,255,Ship
0,007b39d27.jpg,12,236,15,239,Ship
0,007b39d27.jpg,19,238,22,241,Ship
0,008127d89.jpg,47,99,52,106,Ship
0,008129422.jpg,153,26,159,40,Ship
0,008605bcf.jpg,223,26,247,56,Ship
0,008605bcf.jpg,230,203,253,227,Ship
0,0086f828b.jpg,112,233,115,237,Ship
0,008863fe8.jpg,229,16,237,23,Ship
0,008bc8983.jpg,104,140,106,143,Ship
0,008be7e31.jpg,67,41,70,44,Ship
0,008d2170e.jpg,4,223,19,228,Ship
0,008d2170e.jpg,15,87,20,92,Ship
0,008d2170e.jpg,21,84,39,94,Ship
0,008d2170e.jpg,89,118,101,129,Ship
0,008d2170e.jpg,140,0,190,34,Ship
0,008fd2b42.jpg,67,17,75,22,Ship
0,0093754d4.jpg,151,74,168,116,Ship
0,009751652.jpg,171,151,187,182,Ship
0,00975abe1.jpg,233,148,242,176,Ship
0,0098456ff.jpg,141,198,216,256,Ship
0,0098456ff.jpg,175,55,227,96,Ship
0,0098652ab.jpg,22,82,40,94,Ship
0,0098652ab.jpg,155,66,159,77,Ship
0,00990fe74.jpg,90,215,96,220,Ship
0,009c1116c.jpg,230,90,234,95,Ship
0,009e22bfb.jpg,140,106,152,160,Ship
0,009eb0e0c.jpg,227,214,237,229,Ship
0,009eb0e0c.jpg,237,166,247,182,Ship
0,00a1aab5b.jpg,112,151,121,163,Ship
0,00a52cd2a.jpg,5,164,57,229,Ship
0,00a6fef47.jpg,191,170,198,173,Ship
0,00a9adaa4.jpg,7,141,13,146,Ship
0,00a9adaa4.jpg,53,108,61,113,Ship
0,00a9adaa4.jpg,73,93,81,101,Ship
0,00a9adaa4.jpg,89,47,95,53,Ship
0,00a9adaa4.jpg,101,20,105,25,Ship
0,00a9be085.jpg,96,12,123,34,Ship
0,00a9be085.jpg,221,201,227,207,Ship
0,00a9be085.jpg,224,206,237,220,Ship
0,00a9e2ec9.jpg,12,39,16,47,Ship
0,00aa60389.jpg,131,225,139,238,Ship
0,00aa60389.jpg,186,163,196,179,Ship
0,00aa8bc42.jpg,19,148,47,161,Ship
0,00abc623a.jpg,0,123,54,157,Ship
0,00abc623a.jpg,191,85,256,117,Ship
0,00b0fa633.jpg,34,160,39,165,Ship
0,00b0fa633.jpg,119,101,146,111,Ship
0,00b101ed7.jpg,164,16,179,37,Ship
0,00b21150c.jpg,204,168,237,256,Ship
0,00b3e6991.jpg,216,243,226,251,Ship
0,00b71d048.jpg,34,9,50,18,Ship
0,00b872d8e.jpg,114,119,118,122,Ship
0,00bc708e0.jpg,99,143,118,170,Ship
0,00be4edfb.jpg,79,46,87,55,Ship
0,00be4edfb.jpg,153,72,157,76,Ship
0,00be4edfb.jpg,186,19,196,33,Ship
0,00c2c8539.jpg,101,176,104,182,Ship
0,00c3aee3d.jpg,17,64,31,88,Ship
0,00c3aee3d.jpg,33,49,37,51,Ship
0,00c3aee3d.jpg,97,166,107,173,Ship
0,00c3bafa8.jpg,86,226,92,234,Ship
0,00c3e1386.jpg,128,85,154,96,Ship
0,00c498ef4.jpg,141,157,161,179,Ship
0,00c4a90d2.jpg,182,184,186,195,Ship
0,00c4b4f62.jpg,189,180,192,183,Ship
0,00c54cf6e.jpg,36,186,64,199,Ship
0,00c571edd.jpg,244,54,256,81,Ship
0,00c81c432.jpg,132,91,164,122,Ship
0,00c885f4f.jpg,108,121,119,131,Ship
0,00c996565.jpg,19,134,26,140,Ship
0,00c996565.jpg,73,46,77,50,Ship
0,00c996565.jpg,204,65,207,68,Ship
0,00c9a7ed3.jpg,156,47,162,58,Ship
0,00cad4541.jpg,22,196,47,222,Ship
0,00ce2c1c0.jpg,167,94,213,181,Ship
0,00d0a646b.jpg,9,183,33,256,Ship
0,00d412548.jpg,214,125,256,187,Ship
0,00dbe507d.jpg,191,248,198,255,Ship
0,00dffdc42.jpg,86,236,91,241,Ship
0,00e05ac7b.jpg,66,11,67,13,Ship
0,00e0b6dc0.jpg,41,186,44,190,Ship
0,00e44fa55.jpg,119,80,148,106,Ship
0,00e4b52b2.jpg,92,144,117,173,Ship
0,00e4b52b2.jpg,105,151,118,166,Ship
0,00e4b52b2.jpg,245,7,256,28,Ship
0,00e56cc3c.jpg,179,245,187,252,Ship
0,00e603959.jpg,114,200,120,215,Ship
0,00ea572a2.jpg,236,95,238,96,Ship
0,00eda2ebe.jpg,0,81,32,109,Ship
0,00ee04562.jpg,3,37,10,65,Ship
0,00ee04562.jpg,53,94,61,120,Ship
0,00ee04562.jpg,147,106,160,134,Ship
0,00ef1bc5c.jpg,183,94,200,119,Ship
0,00ef1bc5c.jpg,216,14,233,39,Ship
0,00ef28664.jpg,40,163,44,166,Ship
0,00f34434e.jpg,131,118,168,175,Ship
0,00f34434e.jpg,197,191,198,195,Ship
0,00f4494b4.jpg,179,133,186,137,Ship
0,00f4494b4.jpg,206,154,210,158,Ship
0,00f4494b4.jpg,252,175,256,179,Ship
0,00f89a059.jpg,173,20,177,25,Ship
0,00fba1ce7.jpg,86,30,101,49,Ship
0,00fba1ce7.jpg,235,155,256,188,Ship
0,00fd8e126.jpg,115,40,198,85,Ship
0,01000f132.jpg,192,70,202,122,Ship
0,01031cea7.jpg,193,0,218,17,Ship
0,010396a0e.jpg,85,102,93,121,Ship
0,010396a0e.jpg,187,192,204,244,Ship
0,0104ed53e.jpg,44,173,59,206,Ship
0,0104ed53e.jpg,118,53,126,71,Ship
0,0106d2433.jpg,114,97,133,140,Ship
0,010b1e6aa.jpg,202,205,207,216,Ship
0,010b1e6aa.jpg,203,101,210,123,Ship
0,010cbbfa0.jpg,158,233,165,234,Ship
0,010cbbfa0.jpg,206,176,208,179,Ship
0,010cbbfa0.jpg,221,67,224,74,Ship
0,010e15afe.jpg,100,4,107,17,Ship
0,010e15afe.jpg,111,39,119,48,Ship
0,010e15afe.jpg,116,28,123,39,Ship
0,010e15afe.jpg,132,28,147,47,Ship
0,010e15afe.jpg,136,0,147,21,Ship
0,010ed806d.jpg,154,124,157,128,Ship
0,01109440b.jpg,144,185,147,188,Ship
0,01109440b.jpg,151,143,154,146,Ship
0,0114cb925.jpg,109,177,112,179,Ship
0,0114cb925.jpg,136,165,162,178,Ship
0,01152a5d6.jpg,154,229,160,237,Ship
0,01178499a.jpg,106,100,147,146,Ship
0,01184bcb5.jpg,25,231,33,238,Ship
0,01193c983.jpg,24,0,30,4,Ship
0,011a24ce7.jpg,225,0,249,60,Ship
0,0121138f0.jpg,125,140,139,158,Ship
0,0123af2ee.jpg,81,215,87,222,Ship
0,0123b84ee.jpg,6,144,15,167,Ship
0,0123b84ee.jpg,19,115,25,129,Ship
0,0123b84ee.jpg,60,51,73,79,Ship
0,0123b84ee.jpg,172,111,180,132,Ship
0,0123b84ee.jpg,209,48,213,71,Ship
0,012635ffd.jpg,162,185,171,219,Ship
0,012735107.jpg,110,226,114,230,Ship
0,012735107.jpg,142,30,149,37,Ship
0,0129c0880.jpg,234,96,238,100,Ship
0,012c055e7.jpg,0,126,57,204,Ship
0,012c9f428.jpg,7,0,14,13,Ship
0,012d9c145.jpg,62,55,70,68,Ship
0,012d9c145.jpg,128,240,141,256,Ship
0,012d9c145.jpg,164,73,173,91,Ship
0,013048d62.jpg,74,140,153,229,Ship
0,013048d62.jpg,139,128,145,139,Ship
0,013048d62.jpg,160,91,198,133,Ship
0,0137ee2df.jpg,43,9,60,28,Ship
0,013b9540b.jpg,2,114,7,117,Ship
0,013b9540b.jpg,4,83,67,149,Ship
0,013b9540b.jpg,225,205,229,211,Ship
0,013fb4633.jpg,162,204,210,220,Ship
0,0140787ec.jpg,176,160,190,181,Ship
0,0140787ec.jpg,209,138,228,177,Ship
0,0140787ec.jpg,212,182,233,215,Ship
0,0142b90f6.jpg,221,23,226,28,Ship
0,01431af84.jpg,61,135,64,138,Ship
0,014374e14.jpg,64,139,69,143,Ship
0,014586e74.jpg,159,121,174,159,Ship
0,014624873.jpg,42,120,113,182,Ship
0,014624873.jpg,51,159,54,163,Ship
0,014773cfa.jpg,60,164,64,170,Ship
0,0148e8c38.jpg,236,11,238,13,Ship
0,014ae9b69.jpg,224,10,226,12,Ship
0,014bf2cb5.jpg,128,15,132,23,Ship
0,014bf2cb5.jpg,131,8,133,14,Ship
0,014c589c5.jpg,25,99,32,102,Ship
0,014c589c5.jpg,230,117,234,121,Ship
0,014c906b1.jpg,32,123,40,153,Ship
0,014c906b1.jpg,116,69,122,87,Ship
0,014c906b1.jpg,129,179,136,205,Ship
0,014c906b1.jpg,217,137,228,158,Ship
0,014f2454d.jpg,189,95,192,98,Ship
0,014f42813.jpg,56,113,68,141,Ship
0,0150b2c24.jpg,13,7,15,9,Ship
0,0152a6885.jpg,167,141,183,162,Ship
0,0152a6885.jpg,193,85,203,100,Ship
0,0152f58b6.jpg,9,135,11,139,Ship
0,0152f58b6.jpg,18,247,23,251,Ship
0,0152f58b6.jpg,20,219,23,223,Ship
0,01530ba04.jpg,184,60,226,91,Ship
0,015369fd9.jpg,7,26,32,54,Ship
0,015369fd9.jpg,45,89,57,127,Ship
0,015369fd9.jpg,75,113,85,144,Ship
0,015369fd9.jpg,83,68,92,93,Ship
0,0153aaea8.jpg,115,121,118,124,Ship
0,01541263e.jpg,23,239,24,242,Ship
0,01541263e.jpg,24,232,27,235,Ship
0,01541263e.jpg,40,236,42,239,Ship
0,01541263e.jpg,50,217,51,218,Ship
0,01541263e.jpg,51,221,52,223,Ship
0,01541263e.jpg,143,221,145,223,Ship
0,01541263e.jpg,144,225,146,227,Ship
0,01541263e.jpg,149,226,150,229,Ship
0,01541263e.jpg,166,229,168,232,Ship
0,01541263e.jpg,193,239,196,243,Ship
0,0154d8e2d.jpg,231,207,234,213,Ship
0,01584f24a.jpg,66,229,68,233,Ship
0,01584f24a.jpg,156,0,160,7,Ship
0,015861bab.jpg,11,32,16,37,Ship
0,01589db09.jpg,6,87,58,101,Ship
0,015b2962a.jpg,90,163,147,256,Ship
0,015b2962a.jpg,203,61,216,86,Ship
0,015b2962a.jpg,215,38,219,45,Ship
0,015b4aaf1.jpg,196,138,213,189,Ship
0,015b4aaf1.jpg,211,148,226,184,Ship
0,015d9f6b2.jpg,117,205,122,216,Ship
0,015d9f6b2.jpg,117,101,124,123,Ship
0,015da1585.jpg,31,107,34,110,Ship
0,015e0504c.jpg,132,235,136,239,Ship
0,015e56b00.jpg,8,118,10,123,Ship
0,015e56b00.jpg,15,72,30,97,Ship
0,015fb893d.jpg,35,121,36,124,Ship
0,015fb893d.jpg,73,83,75,86,Ship
0,015fb893d.jpg,91,22,93,24,Ship
0,015fb893d.jpg,123,229,125,232,Ship
0,016017695.jpg,12,123,48,152,Ship
0,0160a797d.jpg,232,123,238,128,Ship
0,0163c7069.jpg,187,106,197,118,Ship
0,0166012e5.jpg,52,56,56,61,Ship
0,0166f83f1.jpg,126,2,130,9,Ship
0,016b781a9.jpg,82,13,105,44,Ship
0,016bb0df6.jpg,37,207,41,210,Ship
0,016bb0df6.jpg,62,217,86,233,Ship
0,016ca71c9.jpg,16,227,32,247,Ship
0,016dcd260.jpg,53,219,62,256,Ship
0,016dcd260.jpg,122,169,127,177,Ship
0,016dcd260.jpg,158,119,180,151,Ship
0,016ec07ac.jpg,227,66,229,73,Ship
0,016ec07ac.jpg,245,204,248,208,Ship
0,0171499be.jpg,38,0,80,41,Ship
0,0171499be.jpg,90,62,103,78,Ship
0,0171499be.jpg,112,32,126,42,Ship
0,0172ba95b.jpg,236,19,244,23,Ship
0,0177df615.jpg,9,136,14,140,Ship
0,0177df615.jpg,73,217,77,220,Ship
0,0177df615.jpg,153,55,158,59,Ship
0,0177df615.jpg,204,235,207,239,Ship
0,0177df615.jpg,229,72,234,85,Ship
0,0178084d0.jpg,27,213,30,216,Ship
0,0178084d0.jpg,251,195,254,198,Ship
0,017826c29.jpg,115,194,136,242,Ship
0,017826c29.jpg,118,230,125,237,Ship
0,0178a78ec.jpg,0,186,17,217,Ship
0,0178c2489.jpg,10,6,15,14,Ship
0,0178c2489.jpg,57,64,61,68,Ship
